10 MM - II,20 MM - II,CEMENT OPC GRADE 43,CEMENT OPC GRADE 53,CEMENT PPC,CRUSHED STONE SAND II,FLY ASH,GGBS,GRADE,NATURAL SAND-COARSE,NATURAL SAND-FINE,RMC ADMX - HIGH PC,RMC ADMX - MID PC,SLUMP / FLOW,WATER,W/C,BLEND_OPC+GGBS,BLEND_OPC+PFA,BLEND_OPC+PFA+GGBS,BLEND_PPC,BLEND_PPC+GGBS,BLEND_PPC+PFA,BLEND_PPC+PFA+GGBS,DISTANCE_Medium,DISTANCE_Short,SPECIFIED SLUMP_175,SPECIFIED SLUMP_225,SPECIFIED SLUMP_25 ± 15,SPECIFIED SLUMP_75
592.143,595.429,0.0,165.429,0.0,0.0,98.571,66.857,25,765.571,0.0,0.0,1.643,140,131.901,0.3986646799070294,0,0,1,0,0,0,0,1,0,0,0,0,0
592.857,592.143,0.0,165.0,0.0,0.0,99.143,66.857,25,793.571,0.0,0.0,1.191,120,123.644,0.3735468277945619,0,0,1,0,0,0,0,1,0,0,0,0,0
586.833,582.667,0.0,0.0,220.5,0.0,140.167,0.0,20,752.833,0.0,0.0,1.195,120,140.788,0.3903545375651224,0,0,0,0,0,1,0,1,0,0,0,0,0
589.714,586.714,0.0,0.0,255.286,0.0,135.286,0.0,25,690.429,0.0,0.0,1.3,120,154.383,0.3952741107913522,0,0,0,0,0,1,0,1,0,0,0,0,0
632.167,634.667,0.0,156.167,0.0,0.0,94.167,61.167,20,760.333,0.0,0.0,1.392,140,136.525,0.4382810970109245,0,0,1,0,0,0,0,1,0,0,0,0,0
591.4,633.8,0.0,0.0,264.6,0.0,0.0,175.2,35,677.6,0.0,0.0,1.486,140,150.236,0.3416007276034561,0,0,0,0,1,0,0,0,1,0,0,0,0
386.571,854.714,0.0,296.571,0.0,0.0,98.0,0.0,30,724.571,0.0,0.0,2.306,120,129.359,0.3278472062062341,0,1,0,0,0,0,0,0,0,0,0,0,0
592.0,588.286,0.0,0.0,208.714,0.0,138.429,0.0,20,731.0,0.0,0.0,1.407,120,139.094,0.4006821396369795,0,0,0,0,0,1,0,1,0,0,0,0,0
593.0,588.143,0.0,0.0,210.143,0.0,143.571,0.0,20,721.143,0.0,0.0,1.406,120,158.021,0.4467479375993034,0,0,0,0,0,1,0,1,0,0,0,0,0
1000.143,0.0,0.0,0.0,265.143,0.0,165.286,0.0,25,818.571,0.0,0.0,1.391,140,140.596,0.3266415599320678,0,0,0,0,0,1,0,1,0,0,0,0,0
391.714,805.143,0.0,296.857,0.0,0.0,99.286,0.0,30,747.429,0.0,0.0,2.096,170,118.294,0.298614389248327,0,1,0,0,0,0,0,0,0,0,0,0,0
